"State","Measure ID","Measure Name","Score","Footnote","Measure Start Date","Measure End Date"
"AK","OP_10","Abdomen CT Use of Contrast Material","6.4","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AK","OP_11","Thorax CT Use of Contrast Material","0.6","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AK","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","3.4","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AK","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","0.9","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AK","OP_8","MRI Lumbar Spine for Low Back Pain","49.9","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AK","OP_9","Mammography Follow-up Rates","9.1","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AL","OP_10","Abdomen CT Use of Contrast Material","13.5","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AL","OP_11","Thorax CT Use of Contrast Material","2.5","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","5.7","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","2.0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AL","OP_8","MRI Lumbar Spine for Low Back Pain","42.6","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AL","OP_9","Mammography Follow-up Rates","6.8","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AR","OP_10","Abdomen CT Use of Contrast Material","9.9","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AR","OP_11","Thorax CT Use of Contrast Material","3.4","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AR","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","4.4","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AR","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","1.5","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AR","OP_8","MRI Lumbar Spine for Low Back Pain","43.8","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AR","OP_9","Mammography Follow-up Rates","9.0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AS","OP_10","Abdomen CT Use of Contrast Material","0.0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AS","OP_11","Thorax CT Use of Contrast Material","0.0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AS","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AS","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","0.0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AS","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
"AS","OP_9","Mammography Follow-up Rates","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016"
